prod_taz,attr_taz,purp_acces,trips
     620,     766,  11.00000000000000,   2.08333333333333
     620,     843,  11.00000000000000,   4.34415584415583
     626,     736,   1.00000000000000,   2.63359788359788
     626,    2008,   4.00000000000000,   1.95136778115501
     628,     663,  13.00000000000000,  13.07301587301590
     629,    1115,   6.00000000000000,   2.89610389610389
     630,     770,   1.00000000000000,   1.43406593406593
     632,     319,   4.00000000000000,   0.97568389057751
     634,     770,   1.00000000000000,   4.55238095238096
     636,    2031,   1.00000000000000,   7.26984126984127
     643,     552,   1.00000000000000,   2.08333333333333
     649,     770,   1.00000000000000,   4.00700280112044
     649,     994,   1.00000000000000,   2.08571428571429
     655,     770,  11.00000000000000,   2.08333333333333
     656,     767,   6.00000000000000,   4.17142857142858
     657,     770,   6.00000000000000,   7.51219182708544
     657,    2166,   1.00000000000000,   4.00700280112044
     663,     408,  11.00000000000000,   0.97568389057751
     663,     593,  15.00000000000000,  13.07301587301590
     663,     665,  11.00000000000000,   1.95136778115501
     663,     709,   6.00000000000000,   5.26719576719577
     663,     740,   6.00000000000000,   1.56802721088436
     663,     749,  11.00000000000000,  15.84243697478990
     667,     429,   6.00000000000000,   2.26190476190476
     667,     729,  11.00000000000000,   2.08333333333333
     693,     417,   6.00000000000000,   2.00350140056022
     693,     417,  11.00000000000000,   0.97568389057751
     694,     694,  11.00000000000000,   2.27619047619048
     695,     170,   6.00000000000000,   4.58843537414966
     695,     388,   6.00000000000000,   3.57450076804916
     695,     425,   6.00000000000000,   3.57450076804916
     695,     480,   1.00000000000000,   1.07936507936508
     695,     570,   1.00000000000000,   3.57450076804916
     695,     610,   1.00000000000000,   4.97023809523809
     695,     663,   6.00000000000000,   2.15873015873016
     695,     679,   6.00000000000000,   1.04166666666667
     695,     709,   6.00000000000000,   2.15873015873016
     695,     711,   6.00000000000000,   2.15873015873016
     695,     715,   6.00000000000000,   9.94047619047619
     695,     749,   1.00000000000000,   7.14900153609832
     695,     749,  11.00000000000000,   3.13605442176871
     695,     800,   1.00000000000000,   3.57450076804916
     695,    2021,   1.00000000000000,   1.04166666666667
     700,     768,  11.00000000000000,   9.59243697478991
     700,    2067,   1.00000000000000,   4.00700280112044
     704,     694,   6.00000000000000,   7.14900153609832
     704,     715,  11.00000000000000,   9.59243697478991
     706,     417,  11.00000000000000,   6.53650793650793
     709,     663,  11.00000000000000,   5.26719576719577
     714,     663,  11.00000000000000,   5.26719576719577
     721,    2152,   6.00000000000000,   9.94047619047619
     723,     360,  11.00000000000000,   6.53650793650793
     730,     714,  11.00000000000000,   3.13605442176871
     730,     770,  11.00000000000000,   9.59243697478991
     730,    1018,  11.00000000000000,   4.79621848739496
